sample_id,t,x,y
533,17.75,202.17,155.63
534,17.78,202.17,155.63
535,17.82,202.17,155.63
536,17.85,202.17,155.63
537,17.88,201.4,155.63
538,17.92,201.4,155.63
539,17.95,201.4,155.63
540,17.98,201.4,155.63
541,18.02,201.4,155.63
542,18.05,201.4,155.63
543,18.08,201.4,155.63
544,18.12,200.64,155.63
545,18.15,200.64,155.63
546,18.18,200.64,155.63
547,18.22,200.64,156.39
548,18.25,200.64,156.39
549,18.28,200.64,156.39
550,18.32,201.4,155.63
551,18.35,201.4,155.63
552,18.39,201.4,155.63
553,18.42,202.17,155.63
554,18.45,202.17,155.63
555,18.48,201.4,155.63
556,18.52,202.17,154.87
557,18.55,202.17,154.87
558,18.59,202.17,154.1
559,18.62,202.17,153.34
560,18.65,202.17,153.34
561,18.68,202.93,152.58
562,18.72,202.93,151.82
563,18.75,202.93,151.82
564,18.79,202.93,151.05
565,18.82,204.46,151.05
566,18.85,204.46,150.29
567,18.89,204.46,149.53
568,18.92,204.46,148
569,18.95,204.46,147.24
570,18.98,205.22,146.48
571,19.02,205.22,145.71
572,19.05,205.22,144.95
573,19.09,205.98,144.19
574,19.12,206.74,143.42
575,19.15,206.74,143.42
576,19.18,206.74,143.42
577,19.22,207.51,143.42
578,19.25,207.51,143.42
579,19.29,207.51,143.42
580,19.32,207.51,143.42
581,19.35,207.51,143.42
582,19.39,207.51,143.42
583,19.42,208.27,143.42
584,19.45,208.27,143.42
585,19.49,208.27,143.42
586,19.52,209.03,142.66
587,19.55,209.8,142.66
588,19.59,209.8,142.66
589,19.62,209.8,142.66
590,19.65,209.03,141.9
591,19.69,209.8,141.9
592,19.72,209.03,141.9
593,19.75,209.03,141.9
594,19.79,209.8,141.9
595,19.82,209.8,141.9
596,19.85,209.8,142.66
597,19.89,208.27,142.66
598,19.92,209.8,142.66
599,19.95,209.03,142.66
600,19.99,209.03,143.42
601,20.02,209.03,143.42
602,20.05,209.03,143.42
603,20.09,208.27,143.42
604,20.12,209.03,143.42
605,20.15,209.03,143.42
606,20.19,208.27,143.42
607,20.22,208.27,143.42
608,20.25,208.27,143.42
609,20.29,208.27,144.19
610,20.32,208.27,144.19
611,20.35,208.27,144.19
612,20.39,209.8,144.19
613,20.42,209.03,143.42
614,20.45,209.8,144.19
615,20.49,209.8,144.19
616,20.52,209.8,144.19
617,20.55,210.56,144.19
618,20.59,210.56,143.42
619,20.62,209.03,143.42
620,20.65,210.56,144.19
621,20.69,209.8,143.42
622,20.72,209.8,143.42
623,20.75,210.56,143.42
624,20.79,210.56,144.19
625,20.82,209.03,143.42
626,20.85,209.8,143.42
627,20.89,209.8,143.42
